id	name	aliases	charge	formula
gbside_hs	globoside (homo sapiens)	BIGG:bigg2265482;	0	C44H79N2O22FULLRCO
cit	Citrate	KEGG:C00158;CAS:77-92-9;BIGG:bigg34080;	-3	C6H5O7
leu-L	L-Leucine	KEGG:C00123;CAS:61-90-5;BIGG:bigg33942;	0	C6H13NO2
gly	Glycine	KEGG:C00037;CAS:56-40-6;BIGG:bigg33610;	0	C2H5NO2
glyclt	Glycolate	KEGG:C00160;CAS:79-14-1;BIGG:bigg34090;	-1	C2H3O3
sql	Squalene	KEGG:C00751;CAS:111-02-4;BIGG:bigg35878;	0	C30H50
lpam	Lipoamide	KEGG:C00248;CAS:None;BIGG:bigg34384;	0	C8H15NOS2
malACP	Malonyl-[acyl-carrier protein]	KEGG:C01209;CAS:None;BIGG:bigg132642;	-2	C14H22N2O10PRS
sphgn	Sphinganine	KEGG:C00836;CAS:15639-50-6;BIGG:bigg36159;	1	C18H40NO2
gdpfuc	GDP-L-fucose	KEGG:C00325;BIGG:bigg34623;	-2	C16H23N5O15P2
n5m2masn	((N-acetyl-D-glucosaminyl)5-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein)	BIGG:bigg1830653;	0	C74H122N7O50X
n2m2nm	n2m2nmasn (w/o peptide linkage)	BIGG:bigg1862874;	0	C58H97N5O41
m2mn	(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine	BIGG:bigg1862557;	0	C26H45NO21
5hoxnfkyn	5-Hydroxy-N-formylkynurenine	KEGG:C05648;CAS:2208-41-5;BIGG:bigg46195;	0	C11H12N2O5
lnlncgcoa	gamma-linolenoyl-CoA	KEGG:C03035;CAS:18172-33-3;BIGG:bigg41063;	-4	C39H60N7O17P3S
lnlncg	gamma-linolenic acid	KEGG:C06426;CAS:506-26-3;BIGG:bigg48234;	-1	C18H29O2
dopaqn	Dopaquinone	KEGG:C00822;CAS:4430-97-1;BIGG:bigg36114;	0	C9H9NO4
sphings	Sphingosine	KEGG:C00319;CAS:123-78-4;BIGG:bigg34606;	1	C18H38NO2
pd3	Previtamin D3	BIGG:bigg2288991;	0	C27H44O
1a2425thvitd3	1-alpha,24R,25-Trihydroxyvitamin D3	BIGG:bigg2290333;	0	C27H44O4
ksi_pre9	keratan sulfate I biosynthesis, precursor 9	BIGG:bigg2296822;	-3	C121H196N8O93S2X
cs_e_pre3	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 3	BIGG:bigg2300740;	-6	C37H52NO43S4X
4hdebrisoquine	4 hydroxy debrisoquine	BIGG:bigg2299987;	1	C10H14N3O
estriolglc	16-Glucuronide-estriol	KEGG:C05504;CAS:22348-64-7;BIGG:bigg45936;	0	C24H32O9
Rtotal3coa	R total 3 Coenzyme A	BIGG:bigg2386334;	-4	CO2FULLR3C21H31N7O15P3S
bz	Benzoate	KEGG:C00180;CAS:65-85-0;BIGG:bigg34156;	-1	C7H5O2
fucfuc132galacglcgal14acglcgalgluside_hs	V3Fuc,III3Fuc-nLc6Cer	BIGG:bigg2419468;	0	C70H122N3O40FULLRCO
ptdca	pentadecanoate	CAS:1002-84-2;BIGG:bigg215864;	-1	C15H29O2
oretn	4-oxo-retonoic acid	BIGG:bigg2430195;	-1	C20H27O3
strdnccoa	stearidonyl coenzyme A	BIGG:bigg2218848;	-4	C39H58N7O17P3S
lnlncacrn	alpha-linolenyl carnitine	BIGG:bigg2614411;	0	C25H43NO4
fucacngal14acglcgalgluside_hs	IV3-a-NeuAc,III3-a-Fuc-nLc4Cer	BIGG:bigg2419377;	-1	C61H105N3O34FULLRCO
andrstrnglc	androsterone glucuronide	BIGG:bigg2304839;	0	C25H38O8
pser-L	O-Phospho-L-serine	KEGG:C01005;CAS:407-41-0;BIGG:bigg36594;	-2	C3H6NO6P
urea	Urea	KEGG:C00086;CAS:57-13-6;BIGG:bigg33799;	0	CH4N2O
pnto-R	(R)-Pantothenate	KEGG:C00864;CAS:79-83-4;BIGG:bigg36234;	-1	C9H16NO5
4hglusa	L-4-Hydroxyglutamate semialdehyde	KEGG:C05938;BIGG:bigg1447438;	0	C5H9NO4
octa	octanoate (n-C8:0)	KEGG:C06423;CAS:124-07-2;BIGG:bigg48223;	-1	C8H15O2
f1a	F1alpha	BIGG:bigg1886170;	0	C22H37N2O15X
34dhoxmand	3,4-Dihydroxymandelate	KEGG:C05580;CAS:61-33-6;BIGG:bigg46062;	-1	C8H7O5
thyox-L	L-Thyroxine	KEGG:C01829;CAS:51-48-9;BIGG:bigg38499;	0	C15H11I4NO4
r5p	alpha-D-Ribose 5-phosphate	KEGG:C00117;CAS:4300-28-1;BIGG:bigg42420;	-2	C5H9O8P
galt	Galactitol	KEGG:C01697;CAS:608-66-2;BIGG:bigg38183;	0	C6H14O6
glygn5	glycogen, structure 5 (glycogenin-2[1,4-Glc])	BIGG:bigg2214399;	0	C12H21O11X
strdnc	stearidonic acid C18:4, n-3	BIGG:bigg2218006;	-1	C18H27O2
25hvitd2	25-Hydroxyvitamin D2	BIGG:bigg2289188;	0	C28H44O2
2hyoxplac	2-Hydroxyphenylacetate	KEGG:C05852;CAS:91-64-5;BIGG:bigg46660;	-1	C8H7O3
kynate	4-Hydroxy-2-quinolinecarboxylic acid	KEGG:C01717;CAS:492-27-3;BIGG:bigg38234;	-1	C10H6NO3
pppi	Inorganic triphosphate	KEGG:C00536;BIGG:bigg41547;	-4	HO10P3
leuktrC4	Leukotriene C4	BIGG:bigg2212273;	-2	C30H45N3O9S
cs_e	chondroitin sulfate E (GalNAc4,6diS-GlcA), free chain	BIGG:bigg2415881;	-8	C45H64N2O55S6
ksi_deg41	keratan sulfate I, degradation product 41	BIGG:bigg2416957;	0	C34H58N2O26
dopasf	Dopamine 3-O-sulfate	KEGG:C13690;CAS:51317-41-0;BIGG:bigg2320809;	0	C8H11NO5S
fuc14galacglcgalgluside_hs	Lea glycolipid	BIGG:bigg2419350;	0	C50H89N2O26FULLRCO
h	H+	KEGG:C00080;CAS:12408-02-5;BIGG:bigg33778;	1	H
gthox	Oxidized glutathione	KEGG:C00127;BIGG:bigg33951;	-2	C20H30N6O12S2
dedoldp_L	Dehydrodolichol diphosphate, human liver homolog	BIGG:bigg1814660;	-30	C1080H1738O70P20
meoh	Methanol	KEGG:C00132;CAS:67-56-1;BIGG:bigg33974;	0	CH4O1
cmpacna	CMP-N-acetylneuraminate	KEGG:C00128;CAS:3063-71-6;BIGG:bigg33954;	-2	C20H29N4O16P
mmcoa-R	(R)-Methylmalonyl-CoA	KEGG:C01213;BIGG:bigg37090;	-5	C25H35N7O19P3S
xol25oh	25-Hydroxycholesterol	CAS:2140-46-7;BIGG:bigg2197441;	0	C27H46O2
zymst	zymosterol	KEGG:C05437;CAS:7488-99-5;BIGG:bigg45806;	0	C27H44O
estrone	Estrone	KEGG:C00468;CAS:53-16-7;BIGG:bigg35059;	0	C18H22O2
prostgh2	Prostaglandin H2	KEGG:C00427;CAS:42935-17-1;BIGG:bigg34952;	-1	C20H31O5
tetpent6coa	tetracosapentaenoyl coenzyme A, n-6	BIGG:bigg2219652;	-4	C45H68N7O17P3S
cdpdag_hs	CDP diacylglycerol (homo sapiens)	BIGG:bigg2233147;	-2	C12H17N3O11P2FULLRCO2FULLR2CO2
peracd	Perillic acid	CAS:7694-45-3;BIGG:bigg2266070;	-1	C10H13O2
galgalthcrm_hs	Gal-Gal-Gal-Gal-Glc-Cer (homo sapiens)	BIGG:bigg2266461;	0	C48H86NO27FULLRCO
sphs1p	Sphingosine 1-phosphate	KEGG:C06124;CAS:SE: P450;BIGG:bigg47453;	-1	C18H37NO5P
dgpi_prot_hs	deacylated-glycophosphatidylinositol (GPI)-anchored protein	BIGG:bigg2289564;	0	C39H76N4O37P4FULLRCO2FULLR2CO2X
nrpphr	Norepinephrine	KEGG:C00547;CAS:51-41-2;BIGG:bigg35313;	1	C8H12NO3
gal14acglcgalgluside_hs	Lactoneotetraosylceramide	BIGG:bigg2419354;	0	C44H79N2O22FULLRCO
hexccoa	Hexacosanoyl-CoA (n-C26:0CoA)	BIGG:bigg1453342;	-4	C47H82N7O17P3S
tagat-D	D-Tagatose	KEGG:C00795;CAS:87-81-0;BIGG:bigg36022;	0	C6H12O6
sucr	Sucrose	KEGG:C00089;CAS:57-50-1;BIGG:bigg33807;	0	C12H22O11
ile-L	L-Isoleucine	KEGG:C00407;CAS:73-32-5;BIGG:bigg34887;	0	C6H13NO2
dedol_L	Dehydrodolichol, human liver homolog	BIGG:bigg1821257;	0	C1080H1748O10
m6masnC	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	BIGG:bigg1822901;	0	C58H97N2O45X
s2l2fn2m2masn	PA6	BIGG:bigg1830545;	-2	C90H145N6O65X
5dpmev	(R)-5-Diphosphomevalonate	KEGG:C01143;BIGG:bigg36910;	-4	C6H10O10P2
utp	UTP	KEGG:C00075;CAS:63-39-8;BIGG:bigg33760;	-4	C9H11N2O15P3
17ahprgstrn	17alpha-Hydroxyprogesterone	CAS:68-96-2;BIGG:bigg36989;	0	C21H30O3
adsel	Adenylylselenate	KEGG:C05686;CAS:4408-78-0;BIGG:bigg46285;	-2	C10H12N5O10PSe
glygn4	glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})	BIGG:bigg2214348;	0	C18H31O16X
cspg_e	chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan	BIGG:bigg2300742;	-8	C45H63N2O54S6X
cs_b_pre4	chondroitin sulfate B (IdoA2S-GalNAc4S), precursor 4	BIGG:bigg2301450;	-4	C45H67N2O42S2X
hs_pre14	heparan sulfate, precursor 14	BIGG:bigg2303006;	-11	C79H115N5O95S10X
oh1	hydroxide ion	KEGG:C01328;BIGG:bigg37371;	-1	HO
cs_d	chondroitin sulfate D (GlcNAc6S-GlcA2S), free chain	BIGG:bigg2415879;	-7	C45H65N2O52S5
ksi_deg1	keratan sulfate I, degradation product 1	BIGG:bigg2416915;	-13	C241H383N17O209S12X
ksi_deg27	keratan sulfate I, degradation product 27	BIGG:bigg2416934;	-4	C104H169N7O88S4
apoC	Apocarboxlase (no lys residue)	BIGG:bigg2421372;	0	XH
ebastineoh	hydroxylated ebastine	BIGG:bigg2299767;	0	C32H39NO3
arg-L	L-Arginine	KEGG:C00062;CAS:74-79-3;BIGG:bigg33707;	1	C6H15N4O2
sprm	Spermine	KEGG:C00750;CAS:71-44-3;BIGG:bigg35875;	4	C10H30N4
inost	myo-Inositol	KEGG:C00137;CAS:87-89-8;BIGG:bigg33990;	0	C6H12O6
seasmet	Se-Adenosylselenomethionine	KEGG:C05691;CAS:4408-78-0;BIGG:bigg46296;	1	C15H23N6O5Se
ap4a	P1,P4-Bis(5'-adenosyl) tetraphosphate	KEGG:C01260;BIGG:bigg1484745;	-4	C20H24N10O19P4
dna5mtc	DNA 5-methylcytosine	KEGG:C02967;BIGG:bigg2217502;	0	C11H19O8PR2
adhap_hs	acyl-dihydroxyacetone phosphate	BIGG:bigg2220549;	-2	C3H4O6PFULLRCO
gm1a_hs	GM1alpha (homo sapiens)	BIGG:bigg2266551;	-1	C55H95N3O30FULLRCO
oagt3_hs	9-O-Acetylated GT3 (homo sapiens)	BIGG:bigg2289933;	-3	C65H106N4O37FULLRCO
ksi_pre11	keratan sulfate I biosynthesis, precursor 11	BIGG:bigg2296824;	-4	C129H208N9O101S3X
tolbutamide	tolbutamide	BIGG:bigg2299988;	0	C12H18N2O3S
hs	heparan sulfate, free chain	BIGG:bigg2304623;	-13	C79H114N5O102S12
limnen	Limonene	KEGG:C06078;CAS:598-35-6;BIGG:bigg47361;	0	C10H16
ksi_deg33	keratan sulfate I, degradation product 33	BIGG:bigg2416936;	-2	C76H125N5O62S2
apoC-Lys_btn	Holocarboxylase (biotin covalent bound to Lys residue of apoC)	BIGG:bigg2421326;	0	C16H27N4O3SX
htaxol	hydroxylated taxol	BIGG:bigg2299804;	0	C47H31NO15
cmusa	2-Amino-3-carboxymuconate semialdehyde	KEGG:C04409;BIGG:bigg1445617;	-1	C7H6NO5
ttccoa	tetracosanoyl-CoA  (n-C24:0CoA)	BIGG:bigg1453345;	-4	C45H78N7O17P3S
ind3ac	Indole-3-acetate	KEGG:C00954;CAS:87-51-4;BIGG:bigg1485312;	-1	C10H8NO2
1pyr5c	1-Pyrroline-5-carboxylate	KEGG:C03912;BIGG:bigg42766;	-1	C5H6NO2
m6masnA	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	BIGG:bigg1822944;	0	C58H97N2O45X
glu5p	L-Glutamate 5-phosphate	KEGG:C03287;BIGG:bigg41564;	-2	C5H8NO7P
2aobut	L-2-Amino-3-oxobutanoate	KEGG:C03508;BIGG:bigg41986;	0	C4H7NO3
xol7ah	7alpha-Hydroxy-5beta-cholestan-3-one	KEGG:C05451;CAS:67-97-0;BIGG:bigg45839;	0	C27H46O2
bamppald	beta-Aminopropion aldehyde	KEGG:C05665;CAS:608-07-1;BIGG:bigg46232;	1	C3H8NO
dna	DNA	KEGG:C00039;BIGG:bigg2217500;	0	C10H17O8PR2
vacccoa	vaccenyl coenzyme A	BIGG:bigg2218408;	-4	C39H64N7O17P3S
2dpmhobq	2-Decaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	BIGG:bigg2267627;	0	C58H88O4
emem2gacpail_hs	(phosphoethanolaminyl-mannosyl),(phosphoethanolaminyl)-dimannosyl-glucosaminyl-acylphosphatidylinositol (H7')	BIGG:bigg2288941;	0	C53H100N3O35P3FULLRCO2FULLR2CO2
cs_a,b_pre3	chondroitin sulfate A (GalNAc4S-GlcA) and B (IdoA2S-GalNAc4S), precursor 3	BIGG:bigg2300733;	-4	C45H67N2O42S2X
chsterols	cholesterol sulfate	BIGG:bigg2705326;	-1	C27H45O4S
e4p	D-Erythrose 4-phosphate	KEGG:C00279;CAS:585-18-2;BIGG:bigg34479;	-2	C4H7O7P
5mdru1p	5-Methylthio-5-deoxy-D-ribulose 1-phosphate	KEGG:C04582;BIGG:bigg44103;	-2	C6H11O7PS
cdpea	CDPethanolamine	KEGG:C00570;BIGG:bigg35382;	-1	C11H19N4O11P2
tdeACP	cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)	BIGG:bigg1437535;	-1	C25H45N2O8PRS
m1mpdol_L	alpha-D-mannosyl-beta-D-mannosyl-diacylchitobiosyldiphosphodolichol, human liver homolog	BIGG:bigg1809502;	-20	C1360H2228N20O270P20
m6masnB2	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	BIGG:bigg1822946;	0	C58H97N2O45X
sT_antigen	sialyl-T antigen	BIGG:bigg1885367;	-1	C25H40N2O18X
pecgoncoa	Pseudoecgonyl-CoA	BIGG:bigg2282543;	-3	C30H46N8O18P3S
ksi_deg5	keratan sulfate I, degradation product 5	BIGG:bigg2416919;	-11	C222H356N15O194S11
ha_deg1	hyaluronan degradation product 1	BIGG:bigg2418548;	-1	C22H33N2O16
galacgalfuc12gal14acglcgalgluside_hs	(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	BIGG:bigg2419398;	0	C64H112N3O36FULLRCO
akg	2-Oxoglutarate	KEGG:C00026;CAS:328-50-7;BIGG:bigg33565;	-2	C5H4O5
ala-B	beta-Alanine	KEGG:C00099;CAS:107-95-9;BIGG:bigg33848;	0	C3H7NO2
co2	CO2	KEGG:C00011;CAS:124-38-9;BIGG:bigg33506;	0	CO2
cytd	Cytidine	KEGG:C00475;CAS:65-46-3;BIGG:bigg35089;	0	C9H13N3O5
ddcacoa	Dodecanoyl-CoA (n-C12:0CoA)	KEGG:C01832;CAS:6244-92-4;BIGG:bigg38504;	-4	C33H54N7O17P3S
etha	Ethanolamine	KEGG:C00189;CAS:141-43-5;BIGG:bigg34189;	1	C2H8NO
aacoa	Acetoacetyl-CoA	KEGG:C00332;CAS:1420-36-6;BIGG:bigg34646;	-4	C25H36N7O18P3S
ddca	Dodecanoate (n-C12:0)	KEGG:C02679;CAS:143-07-7;BIGG:bigg40351;	-1	C12H23O2
ocdcya	octadecadienoate (n-C18:2)	BIGG:bigg1451013;	-1	C18H31O2
stcoa	Stearoyl-CoA (n-C18:0CoA)	KEGG:C00412;CAS:362-66-3;BIGG:bigg1451385;	-4	C39H66N7O17P3S
mn	beta-1,4-mannose-N-acetylglucosamine	BIGG:bigg1862570;	0	C14H25NO11
glygn1	glycogen, structure 1 (glycogenin-11[1,4-Glc])	BIGG:bigg2213909;	0	C66H111O56X
q10h2	Ubiquinol-10	BIGG:bigg1585153;	0	C59H92O4
13dampp	1,3-Diaminopropane	KEGG:C00986;CAS:109-76-2;BIGG:bigg36543;	2	C3H12N2
pail45p_hs	phosphatidylinositol 4,5-bisphosphate (Homo sapiens)	BIGG:bigg2255621;	-5	C9H14O15P3FULLRCO2FULLR2CO2
bdg2hc	cis-beta-D-Glucosyl-2-hydroxycinnamate	KEGG:C05839;CAS:63-37-6;BIGG:bigg46608;	0	C15H18O8
ga2_hs	GA2 (homo sapiens)	BIGG:bigg2266532;	0	C38H69N2O17FULLRCO
gt1alpha_hs	GT1aalpha (homo sapiens)	BIGG:bigg2266637;	-3	C77H127N5O46FULLRCO
ksi_pre17	keratan sulfate I biosynthesis, precursor 17	BIGG:bigg2296832;	-6	C157H252N11O127S5X
ksi_pre23	keratan sulfate I biosynthesis, precursor 23	BIGG:bigg2296840;	-8	C185H296N13O153S7X
agm	Agmatine	KEGG:C00179;CAS:306-60-5;BIGG:bigg34153;	2	C5H16N4
ebastine	ebastine	BIGG:bigg2299759;	0	C32H39NO2
dmantipyrine	demethylated antipyrine	BIGG:bigg2299979;	0	C10H10N2O
hs_pre15	heparan sulfate, precursor 15	BIGG:bigg2303007;	-12	C79H114N5O98S11X
hs_deg21	heparan sulfate, degradation product 21	BIGG:bigg2303867;	-4	C37H55NO38S2
5dhf	pentaglutamyl folate (DHF)	BIGG:bigg2304239;	-6	C39H43N11O18
7dhf	heptaglutamyl folate (DHF)	BIGG:bigg2304241;	-8	C49H55N13O24
asp-D	D-Aspartate	KEGG:C00402;CAS:1783-96-6;BIGG:bigg34874;	-1	C4H6NO4
fald	Formaldehyde	KEGG:C00067;CAS:50-00-0;BIGG:bigg33726;	0	CH2O
srtn	Serotonin	KEGG:C00780;CAS:50-67-9;BIGG:bigg35982;	1	C10H13N2O
gchola	glycocholate	KEGG:C01921;CAS:475-31-0;BIGG:bigg38691;	0	C26H43NO6
thcholstoic	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	KEGG:C04722;CAS:33964-75-9;BIGG:bigg44407;	-1	C27H45O5
Rtotal2crn	R total 2 carnitine	BIGG:bigg2392272;	0	CO2FULLR2C7H14NO2
Rtotal2coa	R total 2 coenzyme A	BIGG:bigg2386333;	-4	CO2FULLR2C21H31N7O15P3S
cs_a_deg5	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5	BIGG:bigg2415895;	-2	C23H36O24S
cspg_b	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan	BIGG:bigg2301453;	-6	C45H65N2O48S4X
ksii_core2_deg8	keratan sulfate II (core 2-linked), degradation product 8	BIGG:bigg2418063;	0	C36H60N3O25X
fucgalfucgalacglcgalgluside_hs	(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	BIGG:bigg2419338;	0	C62H109N2O35FULLRCO
fucgalacgalfucgalacglcgal14acglcgalgluside_hs	(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1	BIGG:bigg2419443;	0	C84H145N4O50FULLRCO
acglcgalacglcgal14acglcgalgluside_hs	(Gal)3 (Glc)1 (GlcNAc)3 (Cer)1	BIGG:bigg2419409;	0	C66H115N4O37FULLRCO
pristcoa	pristanoyl coa	BIGG:bigg2364529;	-4	C40H68N7O17P3S
fucgalgbside_hs	fucosyl galactosylgloboside (homo sapiens)	BIGG:bigg2266521;	0	C56H99N2O31FULLRCO
mercplaccys	3-mercaptolactate-cysteine disulfide	BIGG:bigg2742951;	-1	C6H10O5S2N
dhap	Dihydroxyacetone phosphate	KEGG:C00111;CAS:57-04-5;BIGG:bigg33898;	-2	C3H5O6P
trdox	Oxidized thioredoxin	KEGG:C00343;BIGG:bigg34679;	0	X
dcamp	N6-(1,2-Dicarboxyethyl)-AMP	KEGG:C03794;BIGG:bigg42544;	-4	C14H14N5O11P
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	KEGG:C04823;BIGG:bigg44624;	-4	C13H15N4O12P
thf	5,6,7,8-Tetrahydrofolate	KEGG:C00101;CAS:135-16-0;BIGG:bigg33856;	-2	C19H21N7O6
nadh	Nicotinamide adenine dinucleotide - reduced	KEGG:C00004;CAS:58-68-4;BIGG:bigg33484;	-2	C21H27N7O14P2
gtp	GTP	KEGG:C00044;CAS:86-01-1;BIGG:bigg33641;	-4	C10H12N5O14P3
lac-L	L-Lactate	KEGG:C00186;CAS:79-33-4;BIGG:bigg34179;	-1	C3H5O3
succ	Succinate	KEGG:C00042;CAS:110-15-6;BIGG:bigg33633;	-2	C4H4O4
adn	Adenosine	KEGG:C00212;CAS:58-61-7;BIGG:bigg34273;	0	C10H13N5O4
o2	O2	KEGG:C00007;CAS:7782-44-7;BIGG:bigg33493;	0	O2
20ahchsterol	20alpha-hydroxy cholesterol	CAS:516-72-3;BIGG:bigg1443018;	0	C27H46O2
pmtcoa	Palmitoyl-CoA (n-C16:0CoA)	KEGG:C00154;BIGG:bigg34063;	-4	C37H62N7O17P3S
ascb-L	L-Ascorbate	KEGG:C00072;CAS:50-81-7;BIGG:bigg33747;	0	C6H8O6
n2m2nmasn	N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminyl-R	KEGG:C04946;CAS:74863-84-6;BIGG:bigg45018;	0	C58H96N5O40X
core7	Core 7	BIGG:bigg1886173;	0	C16H27N2O10X
6pgl	6-phospho-D-glucono-1,5-lactone	KEGG:C01236;CAS:None;BIGG:bigg37157;	-2	C6H9O9P
grdp	Geranyl diphosphate	KEGG:C00341;BIGG:bigg34675;	-3	C10H17O7P2
prpncoa	Propenoyl-CoA	KEGG:C00894;BIGG:bigg36320;	-4	C24H34N7O17P3S
estradiol	Estradiol	KEGG:C00951;CAS:50-28-2;BIGG:bigg36456;	0	C18H24O2
camp	cAMP	KEGG:C00575;BIGG:bigg1484809;	-1	C10H11N5O6P
eicostet	eicosatetranoic acid	BIGG:bigg2219623;	-1	C20H31O2
pgp_hs	phosphatidyl glycerol phosphate (homo sapiens)	BIGG:bigg2262844;	-3	C6H11O9P2FULLRCO2FULLR2CO2
5oxpro	5-Oxoproline	KEGG:C01879;CAS:98-79-3;BIGG:bigg1800372;	-1	C5H6NO3
2coum	cis-2-Hydroxy cinnamate	KEGG:C05838;CAS:63-37-6;BIGG:bigg46605;	-1	C9H7O3
gd3_hs	GD3 (homo sapiens)	BIGG:bigg2266610;	-2	C52H88N3O28FULLRCO
m3gacpail_hs	trimannosyl-glucosaminyl-acylphosphatidylinositol (H4)	BIGG:bigg2288905;	0	C49H88NO29PFULLRCO2FULLR2CO2
2425dhvitd2	24R,25-Dihyoxyvitamin D2	BIGG:bigg2289304;	0	C28H44O3
ksii_core2_pre6	keratan sulfate II biosynthesis, precursor 6	BIGG:bigg2296689;	-2	C61H98N5O46SX
hs_deg15	heparan sulfate, degradation product 15	BIGG:bigg2303861;	-7	C49H71N2O57S5
hs_deg16	heparan sulfate, degradation product 16	BIGG:bigg2303862;	-6	C49H72N2O54S4
dlnlcg	dihomo-gamma-linolenic acid (n-6)	KEGG:C03242;CAS:1783-84-2;BIGG:bigg41475;	-1	C20H33O2
xoltriol	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane	KEGG:C05454;CAS:67-97-0;BIGG:bigg45846;	0	C27H48O3
cs_d_deg4	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 4	BIGG:bigg2416179;	-4	C31H47NO35S3
ksi_deg2	keratan sulfate I, degradation product 2	BIGG:bigg2416916;	-13	C241H384N17O210S12
ksii_core4	keratan sulfate II (core 4-linked)	BIGG:bigg2299365;	-4	C89H142N7O72S3X
thbpt	Tetrahydrobiopterin	KEGG:C00272;CAS:17528-72-2;BIGG:bigg34464;	0	C9H15N5O3
formcoa	Formyl-CoA	KEGG:C00798;BIGG:bigg36030;	0	C22H36N7O17P3S
13-cis-retn	13-cis-retinoate	BIGG:bigg2430432;	-1	C20H27O2
tetpent6crn	tetracosapentaenoyl carnitine	BIGG:bigg2614458;	0	C31H51NO4
na1	Sodium	KEGG:C01330;CAS:7440-23-5;BIGG:bigg37376;	1	Na
glyc-R	(R)-Glycerate	KEGG:C00258;CAS:473-81-4;BIGG:bigg34424;	-1	C3H5O4
fol	Folate	KEGG:C00504;CAS:59-30-3;BIGG:bigg35180;	-1	C19H18N7O6
xoldioloneh	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one	KEGG:C05453;CAS:67-97-0;BIGG:bigg45844;	0	C27H46O3
4mzym_int1	4-Methylzymosterol intermediate 1	BIGG:bigg1454772;	0	C29H46O3
didp	dIDP	KEGG:C01344;BIGG:bigg37395;	-3	C10H11N4O10P2
nrvnc	nervonic acid	BIGG:bigg2218012;	-1	C24H45O2
glx	Glyoxylate	KEGG:C00048;CAS:298-12-4;BIGG:bigg33659;	-1	C2H1O3
R6coa_hs	R group 6 Coenzyme A homo sapiens	BIGG:bigg2298477;	-4	XCO2C21H31N7O15P3S
hs_deg13	heparan sulfate, degradation product 13	BIGG:bigg2303859;	-6	C55H83N3O61S5
lcts	Lactose	KEGG:C00243;CAS:63-42-3;BIGG:bigg34366;	0	C12H22O11
spmd	Spermidine	KEGG:C00315;CAS:124-20-9;BIGG:bigg34593;	3	C7H22N3
ocdcaACP	Octadecanoyl-ACP (n-C18:0ACP)	KEGG:C04088;BIGG:bigg1440358;	-1	C29H55N2O8PRS
pram	5-Phospho-beta-D-ribosylamine	KEGG:C03090;BIGG:bigg41182;	-1	C5H11NO7P
3mlda	3-Methylimidazoleacetic acid	KEGG:C05828;CAS:63-37-6;BIGG:bigg46587;	-1	C6H7N2O2
adrnl	Adrenaline	KEGG:C00788;CAS:51-43-4;BIGG:bigg35997;	1	C9H14NO3
glygn2	glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})	BIGG:bigg2213926;	0	C66H111O56X
tetpent3coa	tetracosapentaenoyl coenzyme A, n-3	BIGG:bigg2219656;	-4	C45H68N7O17P3S
tethex3	tetracosahexaenoic acid, n-3	BIGG:bigg2219657;	-1	C24H35O2
dhcrm_hs	dihydroceramide (homo sapiens)	BIGG:bigg2263543;	0	C18H38NO2FULLRCO
gq1c_hs	GQ1c (homo sapiens)	BIGG:bigg2266628;	-4	C88H143N6O54FULLRCO
hs_pre13	heparan sulfate, precursor 13	BIGG:bigg2301809;	-10	C79H116N5O92S9X
6htststerone	6 beta hydroxy testosterone	BIGG:bigg2299953;	0	C19H28O3
cholate	Cholate	KEGG:C00695;CAS:81-25-4;BIGG:bigg35720;	-1	C24H39O5
Rtotal3	R total 3 position	BIGG:bigg2220401;	-1	CO2FULLR3
tcynt	Thiocyanate	KEGG:C01755;CAS:463-56-9;BIGG:bigg38336;	-1	CNS
